PERIODO,ESTU_CONSECUTIVO,ESTU_TIPODOCUMENTO,ESTU_PAIS_RESIDE,ESTU_COD_RESIDE_DEPTO,ESTU_DEPTO_RESIDE,ESTU_COD_RESIDE_MCPIO,ESTU_MCPIO_RESIDE,ESTU_CODDANE_COLE_TERMINO,ESTU_COD_COLE_MCPIO_TERMINO,ESTU_COD_DEPTO_PRESENTACION,INST_COD_INSTITUCION,INST_NOMBRE_INSTITUCION,INST_CARACTER_ACADEMICO,ESTU_NUCLEO_PREGRADO,ESTU_INST_DEPARTAMENTO,ESTU_INST_CODMUNICIPIO,ESTU_INST_MUNICIPIO,ESTU_PRGM_ACADEMICO,ESTU_PRGM_DEPARTAMENTO,ESTU_PRGM_CODMUNICIPIO,ESTU_PRGM_MUNICIPIO,ESTU_NIVEL_PRGM_ACADEMICO,ESTU_METODO_PRGM,ESTU_VALORMATRICULAUNIVERSIDAD,ESTU_DEPTO_PRESENTACION,ESTU_COD_MCPIO_PRESENTACION,ESTU_MCPIO_PRESENTACION,ESTU_PAGOMATRICULABECA,ESTU_PAGOMATRICULACREDITO,ESTU_HORASSEMANATRABAJA,ESTU_SNIES_PRGMACADEMICO,ESTU_PRIVADO_LIBERTAD,ESTU_NACIONALIDAD,ESTU_ESTUDIANTE,ESTU_GENERO,ESTU_COLE_TERMINO,ESTU_PAGOMATRICULAPADRES,ESTU_ESTADOINVESTIGACION,ESTU_FECHANACIMIENTO,ESTU_PAGOMATRICULAPROPIO,ESTU_TIPODOCUMENTOSB11,FAMI_EDUCACIONPADRE,FAMI_TIENEAUTOMOVIL,FAMI_TIENELAVADORA,FAMI_ESTRATOVIVIENDA,FAMI_TIENECOMPUTADOR,FAMI_TIENEINTERNET,FAMI_EDUCACIONMADRE,INST_ORIGEN,MOD_RAZONA_CUANTITAT_PUNT,MOD_COMUNI_ESCRITA_PUNT,MOD_COMUNI_ESCRITA_DESEM,MOD_INGLES_DESEM,MOD_LECTURA_CRITICA_PUNT,MOD_INGLES_PUNT,MOD_COMPETEN_CIUDADA_PUNT
20183,EK201830018930,CC,COLOMBIA,05,ANTIOQUIA,05088,BELLO,,,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,INGENIERÍA INDUSTRIAL Y AFINES,ANTIOQUIA,05001,MEDELLÍN,INGENIERIA EN HIGIENE Y SEGURIDAD OCUPACIONAL,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05088,BELLO,No,No,Entre 11 y 20 horas,3347,N,COLOMBIA,ESTUDIANTE,F,,Si,PUBLICAR,09/08/1993,No,TI,Secundaria (Bachillerato) completa,No,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) completa,OFICIAL DEPARTAMENTAL,153,158,3,-A1,147,97,100
20183,EK201830045060,CC,COLOMBIA,05,ANTIOQUIA,05001,MEDELLÍN,305001004218,05001,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,"INGENIERÍA DE SISTEMAS, TELEMÁTICA Y AFINES",ANTIOQUIA,05001,MEDELLÍN,INGENIERIA INFORMATICA,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05001,MEDELLÍN,No,No,Menos de 10 horas,3348,N,COLOMBIA,ESTUDIANTE,F,COL NUESTRA SENORA DE LOURDES,Si,PUBLICAR,24/09/1989,No,CC,Educación profesional completa,Si,Si,Estrato 3,Si,Si,Secundaria (Bachillerato) completa,OFICIAL DEPARTAMENTAL,91,199,4,A1,151,135,151
20183,EK201830131391,CC,COLOMBIA,05,ANTIOQUIA,05088,BELLO,,,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,"COMUNICACIÓN SOCIAL, PERIODISMO Y AFINES",ANTIOQUIA,05001,MEDELLÍN,COMUNICACION AUDIOVISUAL,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05088,BELLO,No,No,Entre 11 y 20 horas,55167,N,COLOMBIA,ESTUDIANTE,M,,Si,PUBLICAR,02/11/1993,No,TI,Postgrado,Si,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) completa,OFICIAL DEPARTAMENTAL,178,126,2,A1,185,141,162
20195,EK201950247712,CC,COLOMBIA,05,ANTIOQUIA,05001,MEDELLÍN,,,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,EDUCACIÓN,ANTIOQUIA,05001,MEDELLÍN,"LICENCIATURA EN EDUCACION BASICA ENFASIS EN EDUCACION FISICA, RECREACION Y DEPORTE",ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05001,MEDELLÍN,No,No,Entre 11 y 20 horas,3801,N,COLOMBIA,ESTUDIANTE,M,,Si,PUBLICAR,24/10/1993,No,TI,Primaria completa,No,Si,,Si,Si,Secundaria (Bachillerato) completa,OFICIAL DEPARTAMENTAL,149,105,1,A2,174,148,172
20195,EK201950161028,CC,COLOMBIA,05,ANTIOQUIA,05001,MEDELLÍN,,,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,EDUCACIÓN,ANTIOQUIA,05001,MEDELLÍN,"LICENCIATURA EN EDUCACION BASICA ENFASIS EN EDUCACION FISICA, RECREACION Y DEPORTE",ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05001,MEDELLÍN,No,No,Entre 21 y 30 horas,3801,N,COLOMBIA,ESTUDIANTE,M,,Si,PUBLICAR,02/02/1991,Si,CC,Secundaria (Bachillerato) incompleta,No,Si,Estrato 2,No,No,Técnica o tecnológica completa,OFICIAL DEPARTAMENTAL,146,152,3,A1,130,144,127
20195,EK201950162570,CC,COLOMBIA,05,ANTIOQUIA,05001,MEDELLÍN,205664000068,05664,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,"DEPORTES, EDUCACIÓN FÍSICA Y RECREACIÓN",ANTIOQUIA,05001,MEDELLÍN,PROFESIONAL EN DEPORTE,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Menos de 500 mil,ANTIOQUIA,05001,MEDELLÍN,Si,No,Más de 30 horas,3729,N,COLOMBIA,ESTUDIANTE,M,10181,No,PUBLICAR,25/03/1992,Si,,Ninguno,No,No,Estrato 1,No,No,Primaria incompleta,OFICIAL DEPARTAMENTAL,178,133,2,A1,141,134,81
20195,EK201950158279,CC,COLOMBIA,05,ANTIOQUIA,05001,MEDELLÍN,115001000057,15001,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,INGENIERÍA CIVIL Y AFINES,ANTIOQUIA,05001,MEDELLÍN,INGENIERIA CIVIL,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05001,MEDELLÍN,No,No,,3689,N,COLOMBIA,ESTUDIANTE,F,294,Si,PUBLICAR,04/09/1995,No,TI,Educación profesional completa,,,,,,Secundaria (Bachillerato) completa,OFICIAL DEPARTAMENTAL,193,175,3,A2,189,146,188
20195,EK201950289218,CC,COLOMBIA,05,ANTIOQUIA,05360,ITAGÜÍ,105001013340,05001,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,"INGENIERÍA DE SISTEMAS, TELEMÁTICA Y AFINES",ANTIOQUIA,05001,MEDELLÍN,INGENIERIA INFORMATICA,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05360,ITAGÜÍ,No,No,Entre 21 y 30 horas,3348,N,COLOMBIA,ESTUDIANTE,M,69706,No,PUBLICAR,10/08/1994,Si,,Secundaria (Bachillerato) completa,Si,Si,Estrato 3,Si,Si,Técnica o tecnológica completa,OFICIAL DEPARTAMENTAL,157,162,3,B1,130,180,133
20195,EK201950201360,CC,COLOMBIA,05,ANTIOQUIA,05001,MEDELLÍN,305045000635,05045,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,"DEPORTES, EDUCACIÓN FÍSICA Y RECREACIÓN",ANTIOQUIA,05001,MEDELLÍN,PROFESIONAL EN DEPORTE,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05001,MEDELLÍN,Si,No,Entre 11 y 20 horas,3729,N,COLOMBIA,ESTUDIANTE,M,3103,No,PUBLICAR,22/09/1992,Si,CR,Secundaria (Bachillerato) incompleta,No,Si,Estrato 3,No,Si,Secundaria (Bachillerato) completa,OFICIAL DEPARTAMENTAL,204,0,,B1,149,184,144
20195,EK201950307206,CC,COLOMBIA,05,ANTIOQUIA,05001,MEDELLÍN,,,05,2209,"POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",INSTITUCIÓN UNIVERSITARIA,INGENIERÍA INDUSTRIAL Y AFINES,ANTIOQUIA,05001,MEDELLÍN,INGENIERIA EN HIGIENE Y SEGURIDAD OCUPACIONAL,ANTIOQUIA,05001,MEDELLÍN,UNIVERSITARIO,PRESENCIAL,Entre 500 mil y menos de 1 millón,ANTIOQUIA,05001,MEDELLÍN,Si,No,Más de 30 horas,3347,N,COLOMBIA,ESTUDIANTE,F,,No,PUBLICAR,04/05/1988,No,TI,Secundaria (Bachillerato) completa,No,Si,Estrato 1,Si,Si,Secundaria (Bachillerato) completa,OFICIAL DEPARTAMENTAL,133,140,2,A2,116,148,114
